"Page ID","Identifiant Page"
"Url Key","Url Page"
"Title","Titre Page"
"Date add","Date de création"
"Meta Keywords","Mots clés"
"Meta description","Meta Description"
"CMS Versions","Versions de Pages Cms"
"Pages","Pages"
"Manage Content","Gérer le contenu"
"page version does not exist","La version de page n'existe pas"
"Page version restored with success","La version de page a été restorée avec succès"
"Restore page Version","Restaurer cette version de page"
"Edition of cms page version","Edition d'une version de page"
"Page version detail","Détails d'une version de page"
"Page Version information","Détails de la version de page"
"Page Id","Id de la page CMS"
"title","Titre"
"meta keywords","Meta Keywords"
"url cms page","Url de la page CMS"
"meta description","Meta Description"
"content","Contenu"
"date add","Date de création"
"Preview page Version","Voir cette version de page"
"block ID","Id bloc"
"Identifier","Identifiant"
"Block Title","Titre du bloc"
"Date création","Date de création"
"block identifier","Identifiant du bloc"
"Backups","Sauvegardes"
"Pages","Pages"
"Blocks","Blocs"
"Manage Cms block version","Gestion des sauvegardes de blocs"
"Manage Cms page version","Gestion des sauvegardes de pages"
